lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
24.666667,120.8,hamlet,,Bukou,-2635901,PPL,populated place,GNS
24.633333,120.9,hamlet,,Tangbu,-2638205,PPL,populated place,GNS
24.666667,120.916667,hamlet,,Shacun,-2636605,PPL,populated place,GNS
24.55,120.916667,hamlet,,Liufenkou,-2633467,PPL,populated place,GNS
24.5,120.7,hamlet,,Zaopozi,-2639346,PPL,populated place,GNS
24.533333,120.866667,hamlet,,Beihe,-2635374,PPL,populated place,GNS
24.316667,120.783333,hamlet,,Dabuyuan,-2638453,PPL,populated place,GNS
24.616667,120.8,hamlet,,Xinbu,-2631308,PPL,populated place,GNS
24.55,120.783333,hamlet,,Beikeng,-2635408,PPL,populated place,GNS
24.583333,120.883333,hamlet,,Zhihu,-2627796,PPL,populated place,GNS
24.6,120.9,hamlet,,Dataoping,-2638523,PPL,populated place,GNS
24.616667,120.983333,hamlet,,Xiaohushan,-2630556,PPL,populated place,GNS
24.6,121.033333,hamlet,,Waluoshe,-2639994,PPL,populated place,GNS
24.466667,120.683333,hamlet,,Tianzhong,-2638757,PPL,populated place,GNS
24.45,120.7,hamlet,,Weijia,-2640190,PPL,populated place,GNS
24.5,120.85,hamlet,,Bengshan,-2635585,PPL,populated place,GNS
24.45,120.866667,hamlet,,Jianshanxia,-2627729,PPL,populated place,GNS
24.321389,120.847778,hamlet,,Dadaocheng,9190047,PPL,populated place,GNS
24.566667,120.766667,hamlet,,Guanshuiwo,-2632673,PPL,populated place,GNS
24.65,120.933333,hamlet,,Dahu,-2637788,PPL,populated place,GNS
24.45,120.65,hamlet,,Wayao,-2640177,PPL,populated place,GNS
24.483333,120.7,hamlet,,Shuibantou,-2637253,PPL,populated place,GNS
24.383333,120.866667,hamlet,,Manabang,-2634023,PPL,populated place,GNS
24.4,120.866667,hamlet,,Manabang,-2634024,PPL,populated place,GNS
24.55,120.75,hamlet,,Yanan,-2640608,PPL,populated place,GNS
24.633333,120.983333,hamlet,,Waisiwan,-2639982,PPL,populated place,GNS
24.416667,120.683333,hamlet,,Jinshanli,-2628198,PPL,populated place,GNS
24.401667,120.676111,hamlet,,Weiliao,-2640203,PPL,populated place,GNS
24.533333,120.716667,hamlet,,Tongqing,-2639563,PPL,populated place,GNS
24.516667,120.75,hamlet,,Xiagaobu,-2630387,PPL,populated place,GNS
24.433333,120.8,hamlet,,Neixin,-2634729,PPL,populated place,GNS
24.4,120.766667,hamlet,,Kanxialiao,-2632292,PPL,populated place,GNS
24.4,120.766667,hamlet,,Dengcaokeng,-2638710,PPL,populated place,GNS
24.3,120.783333,hamlet,,Guodike,-2633016,PPL,populated place,GNS
24.466667,120.816667,hamlet,,Yufangkeng,-2640918,PPL,populated place,GNS
24.416667,120.766667,hamlet,,Guishan,-2632772,PPL,populated place,GNS
24.416667,120.766667,hamlet,,Chetou,-2627305,PPL,populated place,GNS
24.4,120.733333,hamlet,,Tuguanyinsi,-2639509,PPL,populated place,GNS
24.516667,120.8,hamlet,,Hebei,-2630032,PPL,populated place,GNS
24.666667,120.816667,hamlet,,Nanhaicha,-2634426,PPL,populated place,GNS
24.6,120.833333,hamlet,,Hougang,-2630135,PPL,populated place,GNS
24.533333,120.833333,hamlet,,Zhuxiangzi,-2628573,PPL,populated place,GNS
24.406667,120.975556,hamlet,,Liangting,-2633198,PPL,populated place,GNS
24.35,120.85,hamlet,,Shifentu,-2636782,PPL,populated place,GNS
24.383333,120.75,hamlet,,Liudong,-2633531,PPL,populated place,GNS
24.566667,120.733333,hamlet,,Houjiaowu,-2630089,PPL,populated place,GNS
24.7,120.866667,hamlet,,Shanwei,-2636578,PPL,populated place,GNS
24.7,120.866667,hamlet,,Dawan,-2638621,PPL,populated place,GNS
24.533333,120.966667,hamlet,,Xiaoping,-2630611,PPL,populated place,GNS
24.533333,121.033333,hamlet,,Fengmeicun,-2629552,PPL,populated place,GNS
24.683333,120.9,hamlet,,Xiabu,-2630678,PPL,populated place,GNS
