lat,lon,place,name,name:en,GNS:id,GNS:dsg_code,GNS:dsg_string,source
25.983333,119.95,halmet,,Caipuwo,-2639288,PPL,populated place,GNS
25.95,119.966667,halmet,,Dabu,-2638439,PPL,populated place,GNS
25.966667,119.966667,halmet,,Dapingcun,-2638398,PPL,populated place,GNS
26.216667,119.983333,halmet,,Wushacun,-2640508,PPL,populated place,GNS
25.983333,119.933333,halmet,,Tian'aocun,-2638745,PPL,populated place,GNS
26.225563,119.991579,halmet,,Shanqiancun,-2636362,PPL,populated place,GNS
26.166667,119.916667,halmet,,Siweicun,-2637481,PPL,populated place,GNS
26.2,119.966667,halmet,,Baishacun,-2635091,PPL,populated place,GNS
26.158889,119.921944,halmet,,Mazu,-2634124,PPL,populated place,GNS
26.145556,119.940278,halmet,,Meishicun,-2634194,PPL,populated place,GNS
26.166667,119.916667,halmet,,Ketiwo,-2632540,PPL,populated place,GNS
26.166667,119.916667,halmet,,Xiwei,-2631615,PPL,populated place,GNS
25.983333,119.933333,halmet,,Laotaoli,-2633153,PPL,populated place,GNS
26.166667,119.916667,halmet,,Lunlinjiao,-2633820,PPL,populated place,GNS
26.140556,119.927222,halmet,,Ren'aicun,-2632043,PPL,populated place,GNS
25.983333,119.916667,halmet,,Kunqiucun,-2632846,PPL,populated place,GNS
26.15,119.933333,halmet,,Zhuluo,-2628647,PPL,populated place,GNS
25.983333,119.933333,halmet,,Xiqiucun,-2630804,PPL,populated place,GNS
26.15,119.933333,halmet,,Fuwocun,-2629818,PPL,populated place,GNS
26.216667,119.966667,halmet,,Zhongwokou,-2629001,PPL,populated place,GNS
26.166667,119.916667,halmet,,Furongwo,-2629741,PPL,populated place,GNS
26.166667,119.916667,halmet,,Furencun,-2629739,PPL,populated place,GNS
26.166667,119.95,halmet,,Fuxingcun,-2629733,PPL,populated place,GNS
25.966667,119.983333,halmet,,Fuzhengcun,-2629667,PPL,populated place,GNS
25.966667,119.933333,halmet,,Jingfancun,-2628004,PPL,populated place,GNS
26.151667,119.947778,halmet,,Changtanwo,-2627095,PPL,populated place,GNS
26.15,119.95,halmet,,Jieshoucun,-2627599,PPL,populated place,GNS
26.2325,119.994167,halmet,,Qiaozicun,-2627513,PPL,populated place,GNS
26.143889,119.915278,halmet,,Jinsha,-2628189,PPL,populated place,GNS
26.216667,119.983333,halmet,,Qinbicun,-2628187,PPL,populated place,GNS
26.15,119.933333,halmet,,Qingshuicun,-2628093,PPL,populated place,GNS
